Language,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z
French,7.636%,0.901%,3.260%,3.669%,14.715%,1.066%,0.866%,0.737%,7.529%,0.613%,0.049%,5.456%,2.968%,7.095%,5.796%,2.521%,1.362%,6.693%,7.948%,7.244%,6.311%,1.838%,0.074%,0.427%,0.128%,0.326%
German,6.516%,1.886%,2.732%,5.076%,16.396%,1.656%,3.009%,4.577%,6.550%,0.268%,1.417%,3.437%,2.534%,9.776%,2.594%,0.670%,0.018%,7.003%,7.270%,6.154%,4.166%,0.846%,1.921%,0.034%,0.039%,1.134%
Spanish,11.525%,2.215%,4.019%,5.010%,12.181%,0.692%,1.768%,0.703%,6.247%,0.493%,0.011%,4.967%,3.157%,6.712%,8.683%,2.510%,0.877%,6.871%,7.977%,4.632%,2.927%,1.138%,0.017%,0.215%,1.008%,0.467%
Portuguese,14.634%,1.043%,3.882%,4.992%,12.570%,1.023%,1.303%,0.781%,6.186%,0.397%,0.015%,2.779%,4.738%,4.446%,9.735%,2.523%,1.204%,6.530%,6.805%,4.336%,3.639%,1.575%,0.037%,0.253%,0.006%,0.470%
Esperanto,12.117%,0.980%,0.776%,3.044%,8.995%,1.037%,1.171%,0.384%,10.012%,3.501%,4.163%,6.104%,2.994%,7.955%,8.779%,2.755%,0,5.914%,6.092%,5.276%,3.183%,1.904%,0,0,0,0.494%
Italian,11.745%,0.927%,4.501%,3.736%,11.792%,1.153%,1.644%,0.636%,10.143%,0.011%,0.009%,6.510%,2.512%,6.883%,9.832%,3.056%,0.505%,6.367%,4.981%,5.623%,3.011%,2.097%,0.033%,0.003%,0.020%,1.181%
Turkish,12.920%,2.844%,1.463%,5.206%,9.912%,0.461%,1.253%,1.212%,9.600%,0.034%,5.683%,5.922%,3.752%,7.987%,2.976%,0.886%,0,7.722%,3.014%,3.314%,3.235%,0.959%,0,0,3.336%,1.500%
Swedish,9.383%,1.535%,1.486%,4.702%,10.149%,2.027%,2.862%,2.090%,5.817%,0.614%,3.140%,5.275%,3.471%,8.542%,4.482%,1.839%,0.020%,8.431%,6.590%,7.691%,1.919%,2.415%,0.142%,0.159%,0.708%,0.070%
Polish,10.503%,1.740%,3.895%,3.725%,7.352%,0.143%,1.731%,1.015%,8.328%,1.836%,2.753%,2.564%,2.515%,6.237%,6.667%,2.445%,0,5.243%,5.224%,2.475%,2.062%,0.012%,5.813%,0.004%,3.206%,4.852%
Dutch,7.486%,1.584%,1.242%,5.933%,17.324%,0.805%,3.403%,2.380%,6.499%,1.461%,2.248%,3.568%,2.213%,10.032%,6.063%,1.370%,0.009%,6.411%,5.733%,6.923%,2.192%,1.854%,1.821%,0.036%,0.035%,1.374%
Danish,6.025%,2.000%,0.565%,5.858%,15.453%,2.406%,4.077%,1.621%,6.000%,0.730%,3.395%,5.229%,3.237%,7.240%,4.636%,1.756%,0.007%,8.956%,5.805%,6.862%,1.979%,2.332%,0.069%,0.028%,0.698%,0.034%
Icelandic,10.110%,1.043%,0,1.575%,6.418%,3.013%,4.241%,1.871%,7.578%,1.144%,3.314%,4.532%,4.041%,7.711%,2.166%,0.789%,0,8.581%,5.630%,4.953%,4.562%,2.437%,0,0.046%,0.900%,0
Finnish,12.217%,0.281%,0.281%,1.043%,7.968%,0.194%,0.392%,1.851%,10.817%,2.042%,4.973%,5.761%,3.202%,8.826%,5.614%,1.842%,0.013%,2.872%,7.862%,8.750%,5.008%,2.250%,0.094%,0.031%,1.745%,0.051%
Czech,8.421%,0.822%,0.740%,3.475%,7.562%,0.084%,0.092%,1.356%,6.073%,1.433%,2.894%,3.802%,2.446%,6.468%,6.695%,1.906%,0.001%,4.799%,5.212%,5.727%,2.160%,5.344%,0.016%,0.027%,1.043%,1.503%
