Language,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z
English,6.5004345610932965%,1.3156711721161627%,1.9989810291605479%,2.5923816944885667%,8.484430724967783%,1.52845625917823%,1.7352474001258729%,3.590373722540234%,6.14079779422783%,0.21278508706206728%,0.9919980819372435%,3.323643120448347%,2.0769023286480657%,5.142805766176163%,5.999940060538856%,1.6213624239518085%,0.0989001108880031%,4.489465639703899%,5.226721011778104%,6.515419426379357%,2.1937842778793417%,0.7132795876165073%,1.7322504270686607%,0.10789103005963976%,1.9360445949590914%,0.10489405700242756%
Czech,5.324909747292419%,1.4039310068190936%,1.7248295226634576%,1.9504612916165263%,4.833533894905736%,0.9526674689129563%,2.025671881267549%,1.2484957882069796%,3.4697152025671882%,0.7821901323706378%,2.211191335740072%,2.787805856397914%,2.602286401925391%,4.041315683914962%,6.964500601684717%,1.6095066185318894%,0.07521058965102287%,2.1911351784997994%,2.913156839149619%,4.718210990774168%,2.9582831929402325%,2.6574408343361413%,0.7771760930605696%,0.16546329723225028%,0.9075411151223426%,0.7420778178900923%
Danish,5.4991490110922%,1.5141733669816304%,1.2618111391513587%,3.3041845178707674%,9.607371324608252%,1.355713363460297%,2.095193379893186%,1.836962263043606%,4.607077880157286%,1.0387933564176302%,2.3475556077234576%,3.210282293561829%,2.4062444979165445%,5.170491226010916%,4.190386759786372%,1.6080755912905687%,0.11737778038617289%,6.344269029872645%,5.252655672281238%,4.624684547215212%,1.3850578085568401%,1.60220670227126%,0.3051822290040495%,0.446035565467457%,0.8627266858383708%,0.14085333646340747%
German,5.291819580916302%,1.7244781184641491%,2.533443826210489%,3.2555937019060024%,10.390276626810307%,1.3456453967878141%,2.075687620851584%,3.7685963458427056%,6.396748352472279%,0.42224063770174813%,1.7126395959117635%,2.9951462057535223%,2.6478828775502152%,6.282309301132552%,2.6518290517343437%,0.9391894558225801%,0.07892348368256975%,5.16554200702419%,4.822224853005012%,4.845901898109783%,2.9201688962550807%,0.6945266564066138%,1.5074385383370823%,0.18152401246991043%,0.39856359259697727%,0.8642121463241387%
Spanish,9.638336347197107%,1.100060277275467%,2.8933092224231465%,3.4900542495479208%,10.464135021097047%,0.47920433996383366%,1.024713682941531%,0.7082579867389994%,4.168173598553345%,0.834840265220012%,0.1506931886678722%,3.6829415310427964%,2.549728752260398%,5.503315250150694%,6.89873417721519%,2.007233273056058%,0.9945750452079566%,4.906570223025919%,5.476190476190476%,3.6618444846292943%,3.399638336347197%,0.9071729957805906%,0.08438818565400844%,0.11754068716094034%,0.8288125376732971%,0.244122965641953%
Finnish,9.620058087843045%,1.5114693853357832%,1.5588880327188666%,2.003437851935274%,5.36423448521131%,0.8061170055124177%,1.3632861122636477%,2.1279118013158675%,7.379526998992354%,1.4759053997984708%,3.4971252445024006%,3.3785786260446917%,2.51318831130342%,5.850275620887914%,4.9611759824551%,1.8552545788631378%,0.4089858336790943%,2.2701677434651177%,4.848556694920277%,4.220259617094422%,3.307450654970067%,1.9204552190148776%,1.1439748681168869%,0.5749510995198862%,1.6300160037934917%,0.5927330922885425%
Filipino,16.507619997151405%,1.4765228125148364%,0.778616531358306%,1.799363813321939%,3.774391112377154%,0.4985044865403789%,4.016521862982481%,4.8900916298722885%,4.818876703223662%,0.3370839861368276%,3.555998670654702%,2.6444476095522957%,2.62070930066942%,7.12624032663913%,4.947063571191189%,2.065232872810141%,0.06646726487205051%,2.312111285192043%,3.4420547880169017%,3.6984285239519537%,2.449793476712719%,0.2706167212647771%,1.0824668850591084%,0.11869154441437593%,2.1649337701182167%,0.10444855908465081%
French,6.3919821826280625%,0.9831371301304487%,2.3194400254533885%,2.6726057906458798%,10.337257397391028%,0.8813235762010818%,0.6649697741011772%,0.8845052497613745%,5.399300031816735%,0.7126948775055679%,0.3149856824689787%,3.795736557429208%,2.6439707286032457%,5.122494432071269%,4.330257715558384%,2.103086223353484%,0.8685968819599109%,4.9379573655742925%,6.277441934457524%,5.055679287305122%,4.470251352211263%,1.2153993000318168%,0.20362710785873367%,0.2545338848234171%,0.37225580655424756%,0.1813553929366847%
Hungarian,7.214566929133859%,1.7125984251968505%,1.3779527559055118%,2.017716535433071%,5.039370078740157%,1.25%,2.1751968503937005%,1.6240157480314958%,3.818897637795276%,0.954724409448819%,4.173228346456693%,4.104330708661418%,3.326771653543307%,3.395669291338583%,3.0216535433070866%,1.6043307086614174%,0.4625984251968504%,2.204724409448819%,2.8346456692913384%,4.143700787401575%,1.9783464566929132%,1.1023622047244095%,0.6200787401574803%,0.7381889763779528%,1.437007874015748%,1.7125984251968505%
Indonesian,14.218899358186535%,2.2395193226819607%,0.7476444080294962%,2.348764167690837%,4.960398743684282%,0.5735354362965998%,3.4104875051208525%,2.3043834494059814%,5.308616687150075%,0.9524784924211389%,4.444899631298648%,3.024716646183258%,3.0008193363375666%,6.725385770858939%,2.5672538577085895%,2.003960125631572%,0.061450225317492835%,3.219309026355319%,3.577768674040694%,3.837225180936774%,4.1956848286221495%,0.15703946470025945%,0.7476444080294962%,0.07851973235012973%,1.925440393281442%,0.07851973235012973%
